,age,ed,income,debtinc,creddebt,othdebt,spoused,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,carvalue,commutetime,tenure,longmon,longten,tollmon,tollten,equipmon,equipten,cardmon,cardten,wiremon,wireten,hourstv,region_2,region_3,region_4,region_5,townsize_2.0,townsize_3.0,townsize_4.0,townsize_5.0,gender_1,empcat_2,empcat_3,empcat_4,empcat_5,inccat_2,inccat_3,inccat_4,inccat_5,jobsat_2,jobsat_3,jobsat_4,jobsat_5,hometype_2,hometype_3,hometype_4,addresscat_2,addresscat_3,addresscat_4,addresscat_5,cars_1,cars_2,cars_3,cars_4,cars_5,cars_6,cars_7,cars_8,carown_0,carown_1,cartype_0,cartype_1,carcatvalue_1,carcatvalue_2,carcatvalue_3,carbought_0,carbought_1,commutecat_2,commutecat_3,commutecat_4,commutecat_5,reason_2,reason_3,reason_4,reason_9,polview_2,polview_3,polview_4,polview_5,polview_6,polview_7,card_2,card_3,card_4,card_5,cardtype_2,cardtype_3,cardtype_4,cardbenefit_2,cardbenefit_3,cardbenefit_4,cardtenurecat_2,cardtenurecat_3,cardtenurecat_4,cardtenurecat_5,card2_2,card2_3,card2_4,card2_5,card2type_2,card2type_3,card2type_4,card2benefit_2,card2benefit_3,card2benefit_4,card2tenurecat_2,card2tenurecat_3,card2tenurecat_4,card2tenurecat_5,bfast_2,bfast_3,internet_1,internet_2,internet_3,internet_4,ln_total_spent
10,59,19,47.0,8.6,1.3581119999999998,2.683888,-1,1,7,3,0,0,0,0,0,4,28.0,17.0,50,8.55,446.55,0.0,0.0,31.2,1568.35,19.0,930.0,0.0,0.0,26,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,6.698317374724039
11,33,8,19.0,0.8999999999999999,0.130131,0.11429903999999999,9,5,6,0,0,0,0,0,0,6,9.3,28.0,9,3.6,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,5.974903161308757
12,44,10,73.0,2.8000000000000003,1.250928,0.793072,-1,1,1,0,1,0,0,0,0,0,38.5,25.0,5,6.75,29.9,0.0,0.0,0.0,0.0,7.0,30.0,0.0,0.0,21,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6.5968045795910015
13,58,18,63.0,10.5,1.9249649999999996,4.690035,-1,1,0,0,0,0,0,0,0,0,-1.0,16.0,58,12.1,680.75,30.75,1776.7,0.0,0.0,24.5,1415.0,0.0,0.0,21,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6.88595946661168
14,72,20,17.0,9.8,1.276156,0.3898440000000001,17,2,0,0,0,0,0,0,0,0,9.3,32.0,67,13.9,954.05,0.0,0.0,38.55,2580.75,23.25,1525.0,0.0,0.0,24,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,5.609838028479659
15,66,13,23.0,9.3,0.934743,1.2042569999999997,12,2,9,3,0,0,0,0,0,6,11.600000000000001,14.0,72,38.7,2854.9,27.0,1919.0,0.0,0.0,64.25,4011.19999999999,43.25,3159.25,22,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,5.981717195653102
16,57,17,171.0,9.5,1.803195,14.441805,16,3,1,0,1,0,0,0,0,0,75.8,19.0,48,4.15,214.85,28.75,1444.65,43.15,1990.25,29.25,1315.0,40.2,1840.45,17,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,5.996874884800257
17,63,14,272.0100000000002,10.7,13.111352,24.064260000000036,20,2,0,0,0,0,0,0,0,0,88.60000000000001,29.0,70,34.8,2540.15,45.25,3165.45,0.0,0.0,19.75,1325.0,0.0,0.0,24,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7.165539841837513
18,28,11,23.0,4.8,0.19099200000000002,0.913008,12,3,10,1,0,0,0,0,0,9,-1.0,30.0,34,3.45,110.45,33.0,1099.65,0.0,0.0,16.5,545.0,0.0,0.0,16,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6.374649962525065
19,78,16,22.0,15.2,0.6922079999999999,2.651792,-1,1,0,0,0,0,0,0,0,0,10.8,23.0,14,7.3,85.6,0.0,0.0,24.85,341.75,31.75,350.0,0.0,0.0,22,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2.0930978681273213
20,61,16,35.0,10.100000000000001,1.2337150000000001,2.301285,12,2,0,0,0,0,0,0,0,0,9.4,34.0,53,11.2,567.05,0.0,0.0,0.0,0.0,9.5,480.0,0.0,0.0,25,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,6.239027502962935
21,70,17,28.0,9.3,1.1952360000000002,1.408764,17,2,9,0,0,1,0,0,0,8,15.700000000000001,29.0,59,14.25,805.8,23.5,1366.65,0.0,0.0,15.25,840.0,0.0,0.0,21,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,5.850044981634453
22,61,14,12.0,21.5,0.56502,2.01498,-1,1,0,0,0,0,0,0,0,0,5.800000000000001,25.0,61,8.35,476.95,0.0,0.0,29.1,1790.8,11.5,675.0,0.0,0.0,13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,5.732240347472685
23,37,11,29.0,15.7,3.319137,1.233863,-1,1,0,0,0,0,0,0,0,0,-1.0,29.0,39,13.1,504.45,28.5,1028.1,43.5,1663.95,10.5,380.0,31.5,1199.2,21,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.612148555934212
24,39,12,130.0,11.3,4.68611,10.003890000000002,14,4,5,0,0,0,0,0,0,5,49.2,32.0,6,1.85,11.15,13.25,93.0,0.0,0.0,24.5,140.0,0.0,0.0,31,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6.549479053676431
25,73,14,69.0,14.799999999999999,1.1641679999999999,9.047832,15,2,0,0,0,0,0,0,0,0,22.8,27.0,62,25.45,1565.6,17.75,1031.4,47.15,2874.15,10.0,595.0,53.2,3245.6,22,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,5.680547965183287
26,26,16,24.0,11.700000000000001,1.297296,1.5107040000000003,17,6,1,0,1,0,0,0,0,0,9.8,27.0,26,5.8,149.4,0.0,0.0,27.05,728.55,5.5,145.0,0.0,0.0,17,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,6.307497167884594
27,24,17,29.0,14.000000000000002,1.3925800000000002,2.6674200000000003,-1,1,12,0,1,0,0,0,0,11,-1.0,14.0,11,3.95,42.4,0.0,0.0,19.65,172.75,0.0,0.0,0.0,0.0,13,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.718671087149952
28,77,15,11.0,10.2,0.255816,0.8661839999999998,-1,1,2,0,2,0,0,0,0,0,3.1,21.0,72,65.20100000000004,4689.065999999998,58.752500000000055,3977.270500000003,0.0,0.0,40.75,2865.0,0.0,0.0,23,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,5.710460129409442
29,36,19,30.0,15.5,0.41385,4.23615,-1,1,7,0,0,0,0,0,0,7,13.100000000000001,24.0,37,6.7,233.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,6.173515233886633
30,55,14,80.0,6.5,0.03316008,5.1688,-1,1,9,2,0,0,0,0,0,7,35.0,25.0,47,12.25,524.4,0.0,0.0,0.0,0.0,22.25,1000.0,0.0,0.0,25,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6.1429617094696765
31,60,18,51.0,7.8,1.2093120000000002,2.768688,13,2,2,2,0,0,0,0,0,0,25.200000000000003,26.0,71,36.35,2586.85,51.25,3624.85,55.15,3679.4575,28.5,2090.0,55.8,3819.5,20,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,5.0561821090522265
32,59,8,30.0,2.8000000000000003,0.26292000000000004,0.5770799999999999,10,4,1,0,1,0,0,0,0,0,-1.0,15.0,3,5.5,19.35,19.75,52.6,0.0,0.0,30.0,45.0,0.0,0.0,29,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.096139828046113
33,28,11,17.0,8.200000000000001,0.15055200000000002,1.243448,14,6,1,1,0,0,0,0,0,0,8.200000000000001,23.0,16,7.85,116.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,6.118889835363221
34,53,20,141.0,9.9,9.589833,4.369167000000001,17,3,1,0,1,0,0,0,0,0,-1.0,23.0,36,3.4,122.0,29.0,1042.4,49.25,1693.6,22.25,790.0,61.25,2209.2,10,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,6.468738557962579
35,36,12,45.0,8.3,0.8889300000000001,2.84607,-1,2,3,0,0,3,0,0,0,0,21.200000000000003,26.0,38,6.75,244.7,0.0,0.0,27.4,1123.6,0.0,0.0,0.0,0.0,29,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,6.6422912150967885
36,47,20,137.0,13.700000000000001,3.3033440000000005,15.465656000000001,19,2,2,2,0,0,0,0,0,0,78.10000000000001,21.0,69,22.05,1473.3,0.0,0.0,44.85,2973.0,28.25,1885.0,36.45,2475.25,22,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,6.881770582010144
37,75,11,10.0,2.4,0.03888,0.20112,-1,1,1,1,0,0,0,0,0,0,4.9,24.0,46,19.8,884.75,24.75,1058.0,0.0,0.0,14.0,640.0,0.0,0.0,21,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,5.571164950041362
38,49,21,73.0,9.2,1.4372239999999998,5.278776000000001,20,5,13,2,0,0,0,0,0,11,33.9,19.0,31,7.0,238.0,19.5,598.55,57.25,1740.25,0.0,0.0,62.3,1879.25,22,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,4.601262561157074
39,59,13,63.0,6.0,0.5934599999999999,3.18654,-1,1,0,0,0,0,0,0,0,0,36.2,16.0,41,13.0,479.0,19.25,775.6,0.0,0.0,9.0,330.0,19.35,764.35,13,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,6.084636077995777
40,55,12,50.0,5.1,1.0863,1.4636999999999998,11,3,0,0,0,0,0,0,0,0,31.8,21.0,49,9.3,465.5,53.5,2663.3,0.0,0.0,42.0,2060.0,0.0,0.0,29,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,6.335798655211915
